Step,ID,Substep Name,Summary,Fields Read (ID: Name),Documents Used,Fields Written (ID: Name),Potential Flags
Step 1: Pre-Checks,1.1,Document Presence Check,"Check eFolder for presence (and signing) of: 1003, Borrower's Cert/Auth, State disclosures (e.g. MD Right of Assumption), VOE, Assets, Bank Statement, VOD, Driver's License (or other ID), ESS, and existing AUS (Underwriting bucket). Flag any missing docs as warnings/critical before proceeding.","14: Property State
1172: Mortgage Type
CX.APPRAISAL.WAIVER: Appraisal Waiver","1003 URLA
Borrower's Certification & Authorization
Underwriting (DU / LP)
VOE - non service provider
Paystubs
Assets
Bank Statement (all copies)
VOD
Driver's License
Estimated Settlement Statement
Credit Report
MD Notice of Right to Rescind
MD DUAL CAPACITY IN REAL ESTATE
MD Important Notice Regarding Counseling
MD Notice Regarding Right for Assumption
MD Right to Choose Insurance Provider
MD Settlement Services/Right to Choose
Flood Certificate
Evidence of Hazard Insurance
Title Report
LDP
General Letter of Explanation",—,"Missing Required Document (critical)
AUS Missing (critical)
Insufficient Bank Statements (warning)
ID Expired (warning)
State Disclosure Missing (warning)
Credit Report Missing (critical)
FACT ACT Disclosure Missing (warning)
Flood Certificate Missing (warning)
Hazard Insurance Missing (warning)
Title Report Missing (warning)
LDP Missing (warning)
MD Right of Assumption Disclosure Missing (warning) [rule_modifier: state=MD]"
Step 1: Pre-Checks,1.2,File Contacts Check,"Verify that the four key file contacts are assigned in Encompass: Buyer's Agent, Seller's Agent, Seller 1, and Escrow Company. Flag missing contacts as warnings so they can be linked before orders are placed.","638: Seller 1 Name
186: Escrow Case #",—,—,Missing File Contact (warning)
Step 2: Borrower Summary - Origination,2.1,Review Borrower Summary - Origination,"Walk through the Borrower Summary – Origination screen. Check every field for completeness (cell phone = home phone if empty). Verify ID is not expired. Cross-check subject property address against listing (Google). Confirm credit score, loan amount, and AMI / Affordable Loan Eligibility fields.","5053: Borrower Government ID
5055: Borrower Government ID Type
5054: Co-Borrower Government ID
5056: Co-Borrower Government ID Type
4000: Borrower First Name
4001: Borrower Middle Name
4002: Borrower Last Name
4003: Borrower Name Suffix
65: Borrower SSN
1402: Borrower Date of Birth
66: Borrower Home Phone
1715: Borrower Business/Work Phone
1490: Borrower Cell Phone
4920: Borrower Accept Text/SMS
1240: Borrower Email
52: Borrower Marital Status
53: Borrower Dependents Count
54: Borrower Dependent Ages
4004: Co-Borrower First Name
4006: Co-Borrower Last Name
97: Co-Borrower SSN
1403: Co-Borrower Date of Birth
98: Co-Borrower Home Phone
1716: Co-Borrower Business/Work Phone
1480: Co-Borrower Cell Phone
4935: Co-Borrower Accept Text/SMS
1179: Co-Borrower Email
84: Co-Borrower Marital Status
67: Borrower Experian/FICO Score
1450: Borrower TransUnion/Empirica Score
1414: Borrower Equifax/Beacon Score
60: Co-Borrower Experian/FICO Score
1452: Co-Borrower TransUnion/Empirica Score
1415: Co-Borrower Equifax/Beacon Score
VASUMM.X23: Credit Score for Decision Making
300: Credit Reference Number
11: Property Street Address
URLA.X73: Property Street Address (URLA Lender — editable)
FR0126: Borrower Present Street Address
FR0106: Borrower Present City
FR0107: Borrower Present State
FR0108: Borrower Present ZIP
12: Property City
13: Property County
14: Property State
15: Property ZIP
19: Loan Purpose
1109: Loan Amount
356: Appraised Value
1821: Estimated Value
136: Purchase Price (LOS)
1264: Lender
1401: Loan Program
1785: Closing Cost Program
364: Loan Number
1051: MERS MIN
1811: Property Will Be (Occupancy)
1172: Loan Type
420: Lien Position
608: Amortization Type
4: Loan Term (Months)
325: Term Due In (Months)
3: Note Rate
1014: Qualifying Rate
3293: Undiscounted Rate
5: Monthly Payment (P&I)
912: Total Monthly Payment
736: Monthly Income
1771: Down Payment %
1335: Down Payment Amount
2400: Rate Is Locked (Y/N)
761: Lock Date
432: Lock Period (# of Days)
762: Lock Expiration Date
3253: Last Rate Set Date
3259: Rate Lock Disclosure Date
763: Est Closing Date
4114: Borrower Est Closing Date
3941: Secondary Registration
CX.AMI.ELIGIBILITY: AMI / Affordable Loan Eligibility","Driver's License
Purchase Agreement","1490: Borrower Cell Phone -> {borrower_home_phone} [if borrower_cell_phone is empty]
4920: Borrower Accept Text/SMS -> true [if borrower_accept_sms is unchecked]
4935: Co-Borrower Accept Text/SMS -> true [if coborrower_accept_sms is unchecked and coborrower is present]","Required Field Empty (warning)
Borrower ID Expired (warning)
Co-Borrower ID Expired (warning)
Property Address Mismatch (warning)
Loan Amount Missing (critical)
Credit Score Missing (critical)
Email Missing (warning)
Co-Borrower Email Missing (warning)"
Step 3: 1003 URLA Lender,3.1,Update 1003 URLA Lender,"Compute and write Manner in Which Title Will Be Held (field 33) + URLA.X138 from property state, marital status, co-borrower presence, NBS flag, and borrower sex (written when empty; NV forces As Joint Tenants for married couples). Auto-set Estate Will Be Held In (field 1066) to FeeSimple for standard residential loans. Surface Attachment Type (CX.ATTACHMENT.TYPE) and Property Type (field 1041) for verification against the listing.","14: Property State
479: Borrower Marital Status
52: Borrower Marital Status
471: Borrower Sex
478: Co-Borrower Sex
4004: Co-Borrower First Name
4006: Co-Borrower Last Name
CX.NBSFLAG: Non-Borrowing Spouse Flag
CX.NBSINFO: Non-Borrowing Spouse Name
33: Manner in Which Title Will Be Held
1066: Estate Will Be Held In
1041: Property Type
CX.ATTACHMENT.TYPE: Attachment Type (Attached/Detached)",—,"33: Manner in Which Title Will Be Held -> {computed_manner_held} [if empty]
URLA.X138 -> {computed_manner_urla_x138} [if empty]
1066: Estate Will Be Held In -> FeeSimple [if empty or Leasehold]","Manner Held Auto-Set (info)
Manner Held Mismatch (warning)
Estate Auto-Set to Fee Simple (info)"
Step 4: 1003 URLA Page 1,4.1,Review 1003 URLA Page 1,"Check all fields on 1003 URLA Page 1 for completeness and consistency with the Borrower Summary - Origination screen. Confirm borrower name, address, SSN, loan purpose, property type, and occupancy. Flag any mismatches.","4000: Borrower First Name
4001: Borrower Middle Name
4002: Borrower Last Name
65: Borrower SSN
1402: Borrower DOB
35: Borrower Current Street Address
11: Subject Property Address
19: Loan Purpose
1041: Property Type
1811: Occupancy
URLA.X1: Borrower Citizenship
URLA.X2: Co-Borrower Citizenship
FR0126: Borrower Present Street Address
FR0106: Borrower Present City
FR0107: Borrower Present State
FR0108: Borrower Present Zip
FR0112: Borrower Years at Current Address
FR0124: Borrower Months at Current Address
FR0115: Borrower Current Housing Type
FR0116: Borrower Current Housing Expense Amount
FR0326: Borrower Former Street Address
FR0306: Borrower Former City
FR0307: Borrower Former State
FR0308: Borrower Former Zip
FR0315: Borrower Former Housing Type
FR0316: Borrower Former Housing Expense Amount
URLA.X265: Borrower Former Address Does Not Apply
FR0212: Co-Borrower Years at Current Address
FR0224: Co-Borrower Months at Current Address
FR0415: Co-Borrower Current Housing Type
FR0416: Co-Borrower Current Housing Expense Amount
FR0426: Co-Borrower Former Street Address
FR0406: Co-Borrower Former City
FR0407: Co-Borrower Former State
FR0408: Co-Borrower Former Zip
URLA.X266: Co-Borrower Former Address Does Not Apply
FR0125: Borrower Present Address Unit Type
FR0127: Borrower Present Address Unit
FR0225: Co-Borrower Present Address Unit Type
FR0227: Co-Borrower Present Address Unit
FR0325: Borrower Former Address Unit Type
FR0327: Borrower Former Address Unit
FR0425: Co-Borrower Former Address Unit Type
FR0427: Co-Borrower Former Address Unit
4533: Borrower Work Phone (1003 URLA Page 1)
4534: Co-Borrower Work Phone (1003 URLA Page 1)
FE0117: Borrower Phone (1003 URLA Part 2)
FE0217: Co-Borrower Phone (1003 URLA Part 2)
1819: Borrower Mailing Address Same as Present
1820: Co-Borrower Mailing Address Same as Present
URLA.X13: Borrower Military Service Indicator
URLA.X123: Borrower Currently Serving on Active Duty
URLA.X124: Borrower Retired/Discharged/Separated
URLA.X125: Borrower Non-Activated Reserve/National Guard
URLA.X19: Borrower Surviving Spouse
URLA.X14: Co-Borrower Military Service Indicator
URLA.X126: Co-Borrower Currently Serving on Active Duty
URLA.X127: Co-Borrower Retired/Discharged/Separated
URLA.X128: Co-Borrower Non-Activated Reserve/National Guard
URLA.X20: Co-Borrower Surviving Spouse
URLA.X21: Borrower Language Preference
URLA.X22: Co-Borrower Language Preference
53: Number of Dependents
54: Dependents Ages
85: Co-Borrower Number of Dependents
86: Co-Borrower Dependents Ages
16: Subject Property Number of Units",—,—,"URLA Page 1 Field Mismatch with Origination (warning)
Borrower SSN Missing (critical)"
Step 5: 1003 URLA Page 2,5.1,Employment Verification (2b VOE),"Cross-check employment fields against VOE: employer name, original hire date, base pay (Gross Monthly Income → Base / Month). Cross-reference employer address via Google. Flag discrepancies. Check employment history — if current employment < 2 years, review prior history for gaps and explanations.","BE0109: Employment 1 — Type (Current / Prior)
BE0108: Employment 1 — VOE Is For (Borrower / Co-Borrower)
BE0180: Employment 1 — Foreign Address Checkbox
BE0102: Employment 1 — Employer Name
BE0117: Employment 1 — Employer Phone
BE0160: Employment 1 — Employer Street Address
BE0158: Employment 1 — Unit Type (Suite / Apt / etc.)
BE0159: Employment 1 — Unit Number
BE0105: Employment 1 — Employer City
BE0106: Employment 1 — Employer State
BE0107: Employment 1 — Employer Zip
BE0151: Employment 1 — Date Hired
BE0114: Employment 1 — Date Terminated
BE0113: Employment 1 — Years in This Job
BE0133: Employment 1 — Months in This Job
BE0116: Employment 1 — Years in Line of Work
BE0152: Employment 1 — Months in Line of Work
BE0119: Employment 1 — Monthly Base Pay
BE0110: Employment 1 — Position / Title / Type of Business
BE0236: Employment 1 — Print Authorization on Signature Line
BE0209: Employment 2 — Type (Current / Prior)
BE0208: Employment 2 — VOE Is For (Borrower / Co-Borrower)
BE0280: Employment 2 — Foreign Address Checkbox
BE0202: Employment 2 — Employer Name
BE0217: Employment 2 — Employer Phone
BE0260: Employment 2 — Employer Street Address
BE0258: Employment 2 — Unit Type
BE0259: Employment 2 — Unit Number
BE0205: Employment 2 — Employer City
BE0206: Employment 2 — Employer State
BE0207: Employment 2 — Employer Zip
BE0251: Employment 2 — Date Hired
BE0214: Employment 2 — Date Terminated
BE0213: Employment 2 — Years in This Job
BE0233: Employment 2 — Months in This Job
BE0216: Employment 2 — Years in Line of Work
BE0252: Employment 2 — Months in Line of Work
BE0210: Employment 2 — Position / Title / Type of Business
BE0219: Employment 2 — Monthly Base Pay
BE0309: Employment 3 — Type (Current / Prior)
BE0308: Employment 3 — VOE Is For (Borrower / Co-Borrower)
BE0302: Employment 3 — Employer Name
BE0351: Employment 3 — Date Hired
BE0314: Employment 3 — Date Terminated
BE0313: Employment 3 — Years in This Job
BE0333: Employment 3 — Months in This Job
BE0310: Employment 3 — Position / Title / Type of Business
BE0319: Employment 3 — Monthly Base Pay
FE0119: Borrower — Base Monthly Income (Section 1b)
FE0219: Co-Borrower — Base Monthly Income (Section 1b)
URLA.X199: Borrower — Section 1b Does Not Apply
URLA.X200: Co-Borrower — Section 1b Does Not Apply
FE0112: Borrower 1c — Total Gross Income
FE0156: Borrower 1c — Monthly Income (or Loss)
FE0212: Co-Borrower 1c — Total Gross Income
FE0256: Co-Borrower 1c — Monthly Income (or Loss)
FE0302: Borrower 1c — Employer or Business Name
FE0351: Borrower 1c — Start Date
FE0316: Borrower 1c — Years in Line of Work
FE0352: Borrower 1c — Months in Line of Work
FE0402: Co-Borrower 1c — Employer or Business Name
FE0451: Co-Borrower 1c — Start Date
FE0416: Co-Borrower 1c — Years in Line of Work
FE0452: Co-Borrower 1c — Months in Line of Work
URLA.X201: Borrower — Section 1c Does Not Apply
URLA.X202: Co-Borrower — Section 1c Does Not Apply
FE0312: Borrower 1d — Total Gross Income
FE0356: Borrower 1d — Monthly Income (or Loss)
FE0412: Co-Borrower 1d — Total Gross Income
FE0456: Co-Borrower 1d — Monthly Income (or Loss)
FE0502: Borrower 1d — Employer or Business Name
FE0551: Borrower 1d — Start Date
FE0514: Borrower 1d — End Date
FE0602: Co-Borrower 1d — Employer or Business Name
FE0651: Co-Borrower 1d — Start Date
FE0614: Co-Borrower 1d — End Date
URLA.X203: Borrower — Section 1d Does Not Apply
URLA.X204: Co-Borrower — Section 1d Does Not Apply","VOE (all copies)
Paystubs (all copies)","URLA.X201: Borrower — Section 1c Does Not Apply -> true [if Section 2c (borrower additional/self employment, FE0302) is empty and URLA.X201 is not already checked]
URLA.X202: Co-Borrower — Section 1c Does Not Apply -> true [if Section 2c (co-borrower additional/self employment, FE0402) is empty and URLA.X202 is not already checked and a co-borrower is present]
URLA.X203: Borrower — Section 1d Does Not Apply -> true [if Section 2d (borrower previous employment, FE0502) is empty and URLA.X203 is not already checked]
URLA.X204: Co-Borrower — Section 1d Does Not Apply -> true [if Section 2d (co-borrower previous employment, FE0602) is empty and URLA.X204 is not already checked and a co-borrower is present]","Employment Type Not Set (BE0109) (blocking)
Employer Name Mismatch (VOE vs 1003) (warning)
Hire Date Mismatch (VOE vs 1003) (warning)
Monthly Base Pay Mismatch (VOE vs 1003) (warning)
Date Terminated Missing for Prior Employer (warning)
Date Terminated Populated for Current Employer (warning)
Authorization Checkbox Not Checked (BE0236) (warning)
Employment Gap Requires Explanation (warning)
Borrower Base Monthly Income Missing (FE0119) (warning)
Co-Borrower Base Monthly Income Missing (FE0219) (warning)
FHA Employment Gap - Explanation Required (warning) [rule_modifier: loan_type=FHA]"
Step 5: 1003 URLA Page 2,5.2,Other Income (2e),"Review Section 2e — Other Sources of Income on 1003 URLA Part 2 (alimony, dividend stocks, Social Security, etc.). Verify amounts are populated and documented.","172: Other Income Type
173: Other Income Amount (Monthly)
URLA.X40: Borrower — Income from Other Sources Does Not Apply (1e)
URLA.X41: Co-Borrower — Income from Other Sources Does Not Apply (1e)",—,—,"Other Income Not Documented (warning)
Other Income Section Incomplete (1e) (info)"
Step 6: 1003 URLA Part 3,6.1,Assets and VOD (3a),"Review Section 3a (Assets/VOD). Check bank accounts, checking/savings. Cross-reference against bank statements. Verify account numbers, dates, and balances. Flag if total assets insufficient for closing. Rename asset documents per naming convention (e.g. ""Edward Jones x1234 - 04/14/2026"").","732: Total Assets
733: Checking Account Balance
734: Savings Account Balance","Bank Statement (all copies)
Assets
VOD",—,"ZEL/Zelle Deposit Requires Explanation (warning)
Large Deposit Requires Sourcing (warning)
Bank Statement Stale (warning)
Asset Document Needs Renaming (info)"
Step 6: 1003 URLA Part 3,6.2,EMD Check (3b),Review Section 3b — Earnest Money Deposit. Verify EMD amount matches Purchase Contract. Flag if EMD check copy is missing (trigger email to Realtor via Step 18).,URLAROA0103: EMD Amount,Purchase Agreement,—,"EMD Amount Mismatch (warning)
EMD Check Copy Missing (warning)"
Step 6: 1003 URLA Part 3,6.3,Liabilities and VOL (3c),Review Section 3c — Liabilities (VOL). Check Excluded Monthly Payment and To Be Paid Off columns. Flag excluded debts for explanation. Flag any debts to be paid off that require most recent statement.,350: Total Monthly Liabilities,VOL,—,"Excluded Debt Needs Explanation (warning)
Payoff Statement Required (warning)"
Step 6: 1003 URLA Part 3,6.4,Other Assets and REO (3d),"Review 3d (Other Assets — usually marked No) and Section 3 (REO). If borrower owns other real property, verify mortgage statement, insurance deck page, HOA statement, and tax bill are present.",558: Number of Owned Properties (REO),"Mortgage Statement
HOA Statement
Property Tax Bill
Gift Letter",—,"REO Documents Missing (warning)
HOA Statement Missing (warning)
Property Tax Bill Missing (warning)
Gift Letter Missing (warning)"
Step 7: 1003 URLA Part 4,7.1,"Downpayment Sources (4b, 4c, 4d)","Review Sections 4b (downpayment assistance / HELOC — usually N/A for purchase), 4c (rental income — check if applicable), and 4d (grant programs). Check Fannie Mae Additional Data and AMI eligibility for grant programs (e.g. Freddie Mac $2500 grant for borrowers <= 50% AMI).","231: Gift Amount
CX.AMI.PERCENTAGE: AMI Percentage
CX.FNMA.ADDITIONAL.DATA: Fannie Mae Additional Data - AMI
218: Rental Income",—,—,"Gift Letter Missing (warning)
AMI Eligibility Not Set (info)"
Step 7: 1003 URLA Part 4,7.2,Declarations (Section 5),"Review Section 5 — Declarations. Flag any answers that appear incorrect based on known loan file facts. (Example: Borrower rented for 10 months but owned a property 3 years ago — second checkbox should be Yes, not No.)","418: Declaration - Primary Residence Intent (5a-A)
403: Declaration 5a(A) — Ownership Interest Past 3 Years
981: Declaration 5a(A)(1) — Type of Prior Property
1069: Declaration 5a(A)(2) — How Title Was Held (Prior Property)
1108: Declaration 5a(A) — Co-Borrower Ownership Interest Past 3 Years",—,—,Declaration Appears Incorrect (warning)
Step 7: 1003 URLA Part 4,7.3,Ethnicity and ID Cross-Check,Validate borrower ethnicity selection against Driver's License. Verify attachment type (attached/detached) and property type match the Google listing. Confirm estate held = Fee Simple and manner of title = Sole Ownership (or appropriate for married/co-borrower).,"1544: Borrower Ethnicity
CX.ATTACHMENT.TYPE: Attachment Type (Attached/Detached)
1041: Property Type
1066: Estate Will Be Held In
33: Manner in Which Title Will Be Held",Driver's License,—,"Ethnicity Mismatch with ID (warning)
Attachment Type Mismatch with Listing (warning)
Estate Held Not Fee Simple (warning)"
Step 8: Cover Letter,8.1,Draft Cover Letter / Submission Notes,"Populate CX.KM.SUBMISSION.NOTES using Almas' notes from state[""almas_notes""] and loan profile data (AMI eligibility, missing docs, etc.). Clear pre-populated Title Company, Appraisal, and Additional Notes sub-fields. Raise a flag with the draft text so the processor can review and edit it in the UI. Do NOT interrupt here.","CX.KM.SUBMISSION.NOTES: Submission Notes (Cover Letter)
CX.KM.CL.TITLE.COMPANY: Cover Letter - Title Company (pre-populated)
CX.KM.CL.APPRAISAL: Cover Letter - Appraisal (pre-populated)
CX.KM.CL.ADDITIONAL.NOTES: Cover Letter - Additional Notes (pre-populated)
CX.AMI.PERCENTAGE: AMI Percentage
1172: Mortgage Type",—,"CX.KM.SUBMISSION.NOTES: Submission Notes (Cover Letter) -> {llm_drafted_notes}
CX.KM.CL.TITLE.COMPANY: Cover Letter - Title Company (pre-populated) -> 
CX.KM.CL.APPRAISAL: Cover Letter - Appraisal (pre-populated) -> 
CX.KM.CL.ADDITIONAL.NOTES: Cover Letter - Additional Notes (pre-populated) -> ","Cover Letter Draft for Processor Review (info)
Almas Notes Missing (warning)"
